,ID,Ticker_symbol,Anni,Valori_Borsa,predictions,residui
71,8.0,GPI,2021,16.499999999999996,11.113536663969029,5.3864633360309675
72,8.0,GPI,2020,8.180000305175781,10.747672591557654,-2.567672286381873
73,8.0,GPI,2019,7.739999771118162,11.265037093875527,-3.525037322757365
74,8.0,GPI,2018,8.340000152587889,10.499698222282106,-2.159698069694217
75,8.0,GPI,2017,10.699999809265137,11.739993443142827,-1.0399936338776907
76,8.0,GPI,2016,10.199999809265133,10.926612580902821,-0.7266127716376882
77,8.0,GPI,2015,9.800000190734862,7.878831941337546,1.921168249397316
80,9.0,SRI,2022,1.2050000429153442,3.336603969897364,-2.1316039269820197
81,9.0,SRI,2021,2.1050000190734863,3.501815075690535,-1.3968150566170485
82,9.0,SRI,2020,2.289999961853028,2.9057307253679743,-0.6157307635149465
83,9.0,SRI,2019,3.2200000286102286,3.254743003261302,-0.03474297465107323
84,9.0,SRI,2018,3.660000085830689,3.687205370508997,-0.02720528467830796
85,9.0,SRI,2017,6.760000228881836,3.5618965899979522,3.1981036388838837
86,9.0,SRI,2016,3.660000085830689,3.2887856166520004,0.3712144691786885
87,9.0,SRI,2015,3.8239998817443848,3.021263034983785,0.8027368467605998
88,9.0,SRI,2014,4.0320000648498535,2.9382422679726052,1.0937577968772483
89,9.0,SRI,2013,4.116000175476073,2.536839131617601,1.5791610438584724
90,10.0,ALA,2022,11.80000019073486,11.636486428223474,0.1635137625113856
91,10.0,ALA,2021,10.64999961853027,10.799651450302171,-0.14965183177190156
100,11.0,ICF,2022,5.55999994277954,6.095647431155595,-0.5356474883760551
101,11.0,ICF,2021,6.2199997901916495,5.400994985754797,0.8190048044368528
102,11.0,ICF,2020,5.460000038146972,5.735406300897088,-0.27540626275011615
110,12.0,ENV,2022,3.289999961853028,3.908571950557524,-0.6185719887044963
111,12.0,ENV,2021,3.799999952316284,3.6840871232693075,0.11591282904697664
112,12.0,ENV,2020,3.2999999523162837,2.342476468239161,0.957523484077123
113,12.0,ENV,2019,3.390000104904175,2.9882146555512543,0.4017854493529205
114,12.0,ENV,2018,3.2699999809265132,4.159286022049667,-0.8892860411231536
115,12.0,ENV,2017,3.480000019073486,3.3700121334459077,0.10998788562757822
116,12.0,ENV,2016,2.7799999713897705,3.07118409758358,-0.2911841261938095
117,12.0,ENV,2015,2.7899999618530273,2.6050111520194315,0.1849888098335959
118,12.0,ENV,2014,3.4900000095367427,3.724968801309829,-0.2349687917730865
119,12.0,ENV,2013,3.1579999923706046,3.2313448470186548,-0.07334485464805018
120,13.0,MASI,2022,4.510000228881836,4.968786662968988,-0.4587864340871519
121,13.0,MASI,2021,3.8499999046325675,5.269698069421438,-1.419698164788871
122,13.0,MASI,2020,2.569999933242798,3.3693784533045976,-0.7993785200617998
123,13.0,MASI,2019,3.180000066757202,3.5843335221534773,-0.4043334553962752
124,13.0,MASI,2018,3.8499999046325675,3.0989064296536935,0.751093474978874
125,13.0,MASI,2017,4.5,3.2344063013842703,1.2655936986157297
126,13.0,MASI,2016,4.30999994277954,3.488547405043285,0.8214525377362549
127,13.0,MASI,2015,4.400000095367432,4.216564506841914,0.18343558852551745
130,14.0,SVS,2022,9.989999771118164,9.989999771157937,-3.977262963417161e-11
140,15.0,STAR7,2022,8.739999771118164,9.441852981725495,-0.7018532106073305
141,15.0,STAR7,2021,9.630000114440916,8.914161124903524,0.7158389895373922
150,16.0,SCK,2022,7.639999866485597,5.141645232628684,2.4983546338569127
151,16.0,SCK,2021,10.55000019073486,4.983843481423354,5.566156709311506
152,16.0,SCK,2020,3.0499999523162837,1.798167478191189,1.2518324741250948
153,16.0,SCK,2019,1.1699999570846558,1.8502219526359884,-0.6802219955513327
154,16.0,SCK,2018,0.7300000190734863,2.4628269528578954,-1.732826933784409
160,17.0,MARP,2022,4.079999923706054,4.524045344888466,-0.4440454211824125
161,17.0,MARP,2021,4.699999809265136,4.436207348361592,0.26379246090354425
162,17.0,MARP,2020,2.7999999523162837,3.5457088189700947,-0.745708866653811
163,17.0,MARP,2019,4.519999980926514,3.410457159693154,1.1095428212333598
170,18.0,ITD,2022,14.399999618530272,8.573654744653583,5.826344873876689
171,18.0,ITD,2021,19.549999237060543,15.57484936995411,3.975149867106433
172,18.0,ITD,2020,10.499999999999998,7.851513755101604,2.648486244898394
173,18.0,ITD,2019,6.0999999046325675,9.411519728564452,-3.311519823931884
174,18.0,ITD,2018,3.0,5.4820956494300415,-2.4820956494300415
180,19.0,VIM,2022,1.1399999856948853,2.0652651996381803,-0.9252652139432951
181,19.0,VIM,2021,1.590000033378601,1.9249214740152853,-0.3349214406366843
182,19.0,VIM,2020,1.2000000476837158,1.4538334121932381,-0.2538333645095223
183,19.0,VIM,2019,2.150000095367432,1.4004207888491176,0.7495793065183145
184,19.0,VIM,2018,2.950000047683716,1.7044399520833433,1.2455600956003725
190,20.0,MDC,2022,25.249999999999996,35.41927813683053,-10.169278136830531
191,20.0,MDC,2021,38.09999847412107,27.1610549984328,10.938943475688273
200,21.0,ILP,2022,4.440000057220458,3.9745810310388365,0.46541902618162156
201,21.0,ILP,2021,4.519999980926514,3.6288707828023523,0.8911291981241614
202,21.0,ILP,2020,2.039999961853028,2.9682568577172863,-0.9282568958642585
203,21.0,ILP,2019,2.180000066757202,2.084700811593078,0.0952992551641243
210,22.0,CFL,2022,12.64000034332275,13.392773674127321,-0.7527733308045708
211,22.0,CFL,2021,15.720000267028805,14.83641952060449,0.8835807464243146
220,23.0,FCM,2022,1.1299999952316284,1.3427620687722746,-0.21276207354064613
221,23.0,FCM,2021,1.2649999856948853,1.3927274806330312,-0.12772749493814595
222,23.0,FCM,2020,1.2649999856948853,1.2117553752539316,0.05324461044095363
223,23.0,FCM,2019,1.6150000095367432,1.2887000569555505,0.3262999525811927
230,24.0,FVI,2022,15.550000190734858,11.790407801026541,3.7595923897083168
231,24.0,FVI,2021,14.800000190734858,11.204830514908297,3.595169675826561
232,24.0,FVI,2020,12.30000019073486,15.752957502409112,-3.4529573116742522
233,24.0,FVI,2019,11.300000190734863,11.305173656018113,-0.005173465283249357
234,24.0,FVI,2018,11.090909004211426,15.078890008762466,-3.98798100455104
250,26.0,LDB,2022,1.876000046730041,2.052458751186384,-0.17645870445634282
251,26.0,LDB,2021,2.2149999141693115,2.0245668470169784,0.1904330671523331
260,27.0,FOS,2022,3.359999895095825,3.6359040428251554,-0.27590414772933025
261,27.0,FOS,2021,3.859999895095825,3.104384979370891,0.7556149157249341
262,27.0,FOS,2020,2.4800000190734863,3.264994456988218,-0.7849944379147318
263,27.0,FOS,2019,3.1349999904632564,2.7361843212389845,0.3988156692242719
270,28.0,BAN,2022,5.46999979019165,3.576874020722852,1.8931257694687984
271,28.0,BAN,2021,6.139999866485596,4.746930300963508,1.3930695655220875
272,28.0,BAN,2020,4.300000190734862,3.157802481301796,1.1421977094330664
273,28.0,BAN,2019,5.300000190734862,4.900911896746924,0.39908829398793877
274,28.0,BAN,2018,4.449999809265136,4.708504385215812,-0.2585045759506759
275,28.0,BAN,2017,3.7599999904632564,4.346203785141349,-0.5862037946780929
276,28.0,BAN,2016,3.3220000267028804,4.108205003974034,-0.7862049772711539
277,28.0,BAN,2015,4.3420000076293945,4.546411671487107,-0.20441166385771226
278,28.0,BAN,2014,2.26200008392334,3.546156894235987,-1.284156810312647
279,28.0,BAN,2013,2.4260001182556152,2.8462334654686665,-0.4202333472130513
